algorithm,k,inertia,silhouette,calinski_harabasz,davies_bouldin
kmeans,2,9014.566279564408,0.8958249711723565,1923.724788747875,0.7450177503284813
kmeans,3,5441.323586821468,0.5942233320888166,3016.5043235652374,0.710355131394313
kmeans,4,4096.300210623849,0.6162275299095438,3145.058459250493,0.7541725292823771
kmeans,5,3119.7898597679946,0.6165002474714489,3435.456750668268,0.7159714777901626
kmeans,6,2473.793363531358,0.5982885618417099,3691.5177220872224,0.6273252937635388
kmeans,7,2023.5866271986883,0.5165315629559956,3920.38898309121,0.6334111824424271
kmeans,8,1717.0110430386005,0.4858735340732425,4069.9026660586787,0.6947509738834456
kmeans,9,1468.7871021372787,0.4784383467194726,4253.469579296062,0.7024404440043077
kmeans,10,1281.0480510560635,0.47924436437278867,4404.456924484676,0.6779435100607853
hierarchical,2,,0.9199014069390521,1821.6210940815868,0.7272525739800485
hierarchical,3,,0.5774282918289678,2868.254971055935,0.7013016340187462
hierarchical,4,,0.6077080145294,2926.8848230487447,0.8089616091293403
hierarchical,5,,0.6085466429994818,3248.134634839229,0.7423046983459427
hierarchical,6,,0.39419975780438316,3078.671777392157,0.8734081093483509
hierarchical,7,,0.3819054815936161,3088.006392153044,0.8384109280532593
hierarchical,8,,0.38219204010382446,3259.002434298921,0.7624492592227334
hierarchical,9,,0.3824071151037971,3474.6457305845192,0.7019488457248896
hierarchical,10,,0.3864240986825645,3831.4761716571343,0.7671224063321077
gmm,2,,0.4097839871344486,815.0086471532563,1.30218086905026
gmm,3,,0.5393059650555666,1545.838719201,0.95189811300133
gmm,4,,0.16285268995094307,894.8307240681834,1.6201425248185524
gmm,5,,0.14637117789947982,724.7165973495785,1.7412799908618524
gmm,6,,0.06494182395263676,1076.929289020579,1.3108389335907544
gmm,7,,0.11335043735760703,1144.3466996021566,2.9614470990540553
gmm,8,,0.0021661978644980716,772.8557027896309,2.6726437025063596
gmm,9,,0.00789971681936856,1005.4384617661153,2.413445287073533
gmm,10,,-0.01812104102947761,926.1832188287236,2.4707674363864363
